CD_REFNIS;CD_SECTOR;POPULATION;DT_STRT_SECTOR;DT_STOP_SECTOR;OPPERVLAKKTE IN HM²;TX_DESCR_SECTOR_NL;TX_DESCR_SECTOR_FR;TX_DESCR_NL;TX_DESCR_FR
11001;11001A00-;2509;01Mar1981;31Dec9999;53,15799437;AARTSELAAR-CENTRUM;AARTSELAAR-CENTRUM;Aartselaar;Aartselaar
11001;11001A01-;2687;01Mar1981;31Dec9999;67,11455984;DE LEEUWERIK;DE LEEUWERIK;Aartselaar;Aartselaar
11001;11001A020;713;01Mar1981;31Dec9999;28,0843227;BUERSTEDE;BUERSTEDE;Aartselaar;Aartselaar
11001;11001A030;436;01Mar1981;31Dec9999;43,10221707;YSSELAAR;YSSELAAR;Aartselaar;Aartselaar
11001;11001A042;350;01Mar1981;31Dec9999;25,56189601;KLEINE GRIPPE;KLEINE GRIPPE;Aartselaar;Aartselaar
11001;11001A052;2145;01Mar1981;31Dec9999;33,72628851;LEUG;LEUG;Aartselaar;Aartselaar
11001;11001A063;761;01Mar1981;31Dec9999;21,82660114;TEN DORPE;TEN DORPE;Aartselaar;Aartselaar
11001;11001A074;29;01Mar1981;31Dec9999;46,02780443;BRUINEN BAARD;BRUINEN BAARD;Aartselaar;Aartselaar
11001;11001A091;587;01Mar1981;31Dec9999;218,8426073;KLEISTRAAT - OEVER;KLEISTRAAT - OEVER;Aartselaar;Aartselaar
11001;11001A0MA;54;01Oct2001;31Dec9999;20,4653782;CLEYDAEL-KASTEEL;CLEYDAEL-KASTEEL;Aartselaar;Aartselaar
11001;11001A0PA;105;01Oct2001;31Dec9999;170,9254969;ZINKVAL;ZINKVAL;Aartselaar;Aartselaar
11001;11001A10-;792;01Mar1981;31Dec9999;36,4848535;T HEIKEN;T HEIKEN;Aartselaar;Aartselaar
11001;11001A173;468;01Mar1981;31Dec9999;109,900366;NOTELAAN;NOTELAAN;Aartselaar;Aartselaar
11001;11001A190;394;01Mar1981;31Dec9999;132,1818837;DE REUKENS;DE REUKENS;Aartselaar;Aartselaar
11001;11001A20-;1013;01Mar1981;31Dec9999;43,46009395;DE KOEKOEK;DE KOEKOEK;Aartselaar;Aartselaar
11001;11001A21-;1249;01Mar1981;31Dec9999;51,08302459;VIERPALEN;VIERPALEN;Aartselaar;Aartselaar
11001;11001ZZZZ;1;01Mar1981;31Dec9999;0;NIET TE LOKALISEREN IN EEN SECTOR;NON LOCALISABLE DANS UN SECTEUR;Aartselaar;Aartselaar
11002;1100212MQ;0;01Oct2001;31Dec9999;80,72398258;STABROEK;STABROEK;Antwerpen;Anvers
11002;11002A00-;2766;01Mar1981;31Dec9999;22,25748228;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );Antwerpen;Anvers
11002;11002A01-;1540;01Mar1981;31Dec9999;13,81601202;KLAPDORP - BROUWERSVLIET;KLAPDORP - BROUWERSVLIET;Antwerpen;Anvers
11002;11002A02-;542;01Mar1981;31Dec9999;10,90111094;GROENPLAATS (SPAANSE WALLEN);GROENPLAATS (SPAANSE WALLEN);Antwerpen;Anvers
11002;11002A03-;1117;01Mar1981;31Dec9999;9,244517079;HOOGSTRAAT (SPAANSE WALLEN);HOOGSTRAAT (SPAANSE WALLEN);Antwerpen;Anvers
11002;11002A04-;1213;01Mar1981;31Dec9999;14,88240711;OUDAAN (SPAANSE WALLEN);OUDAAN (SPAANSE WALLEN);Antwerpen;Anvers
11002;11002A05-;1594;01Mar1981;31Dec9999;13,47073882;GEVANGENIS (SPAANSE WALLEN);GEVANGENIS (SPAANSE WALLEN);Antwerpen;Anvers
11002;11002A081;0;01Mar1981;31Dec9999;14,895655;SCHELDEKADEN NOORD;SCHELDEKADEN NOORD;Antwerpen;Anvers
11002;11002A10-;1656;01Mar1981;31Dec9999;26,14754993;MEIR - LEYSSTRAAT (SP. WALLEN);MEIR - LEYSSTRAAT (SP. WALLEN);Antwerpen;Anvers
